@relation dataOccupancyPreprocessedNoDate

@attribute Temperature numeric
@attribute Humidity numeric
@attribute Light numeric
@attribute CO2 numeric
@attribute HumidityRatio numeric
@attribute Occupancy {0,1}

@data
2.870313,-0.275546,2.376158,0.297428,0.747225,1
2.882204,-0.28765,2.347001,0.328409,0.737326,1
2.874772,-0.308833,1.945674,0.345403,0.709137,1
2.905988,-0.293703,1.919484,0.359612,0.739226,1
2.882204,-0.275546,2.16223,0.423134,0.751808,1
2.905988,-0.275546,2.023227,0.41979,0.760981,1
2.897069,-0.244277,1.883377,0.480804,0.794988,1
2.852475,-0.213007,1.851593,0.536803,0.815052,1
2.852475,-0.192833,1.819809,0.58138,0.83915,1
2.852475,-0.177905,1.794382,0.605005,0.856984,1
2.852475,-0.154503,1.794382,0.633757,0.88494,1
2.852475,-0.13786,1.748613,0.697279,0.904824,1
2.753378,-0.154503,1.743527,0.734054,0.846025,1
2.793017,-0.137154,1.763869,0.756119,0.882218,1
2.802927,-0.122225,1.794382,0.765815,0.903903,1
2.793017,-0.112138,1.840151,0.793564,0.911996,1
2.753378,-0.100034,1.794382,0.824321,0.910706,1
2.753378,-0.063721,2.10078,0.931305,0.953833,1
2.778153,-0.05313,1.970677,0.96808,0.976306,1
2.753378,-0.053634,2.06052,0.974767,0.965814,1
2.753378,-0.031443,2.089338,0.982568,0.992172,1
2.753378,-0.026399,2.08171,1.029094,0.998163,1
2.753378,-0.011269,1.918128,1.041631,1.016135,1
2.753378,-0.011269,2.033398,1.089105,1.016135,1
2.769895,-0.004544,1.985086,1.096795,1.030777,1
2.819443,0.008905,1.996105,1.101809,1.066814,1
2.753378,0.013444,1.893548,1.161988,1.045493,1
2.753378,0.040511,1.82659,1.180933,1.077648,1
2.753378,0.029943,1.876475,1.200196,1.065094,1
2.728604,0.027061,1.794382,1.186226,1.051644,1
2.69392,0.031096,1.84727,1.192077,1.042405,1
2.753378,0.064988,1.824894,1.214811,1.10673,1
2.679056,0.069426,1.743527,1.284015,1.081734,1
2.654281,0.064988,1.743527,1.28318,1.066431,1
2.654281,0.069426,1.743527,1.265628,1.071672,1
2.654281,0.069426,1.743527,1.269807,1.071672,1
2.654281,0.069426,1.697758,1.277663,1.071672,1
2.654281,0.069426,1.667245,1.284015,1.071672,1
2.654281,0.07447,1.693944,1.282344,1.077628,1
2.599778,0.094644,1.747341,1.297388,1.079261,1
2.545275,0.105739,1.752681,1.29906,1.070152,1
2.545275,0.109774,1.731322,1.344528,1.074885,1
2.545275,0.109774,1.731322,1.361244,1.074885,1
2.545275,0.109774,1.747341,1.369268,1.074885,1
2.545275,0.114313,1.747341,1.372611,1.08021,1
2.545275,0.144742,1.761326,1.395456,1.115908,1
2.525455,0.148104,1.794382,1.401363,1.111747,1
2.545275,0.134655,1.794382,1.385984,1.104074,1
2.545275,0.170296,1.832523,1.445326,1.145889,1
2.5205,0.170296,1.832523,1.444491,1.135718,1
2.446178,0.170296,1.813452,1.472908,1.105286,1
2.462694,0.17702,1.807095,1.451734,1.119888,1
2.446178,0.210643,1.809638,1.490293,1.152339,1
2.446178,0.2056,1.813452,1.503833,1.146457,1
2.446178,0.193832,1.807095,1.485166,1.132733,1
2.446178,0.202574,1.768954,1.499654,1.142928,1
2.446178,0.180383,1.794382,1.512191,1.117049,1
2.446178,0.19047,1.824894,1.486281,1.128812,1
2.42834,0.19047,1.794382,1.522388,1.1215,1
2.35699,0.153652,1.794382,1.475415,1.049628,1
2.386719,0.170296,1.7181,1.447834,1.081028,1
2.446178,0.170296,1.794382,1.459535,1.105286,1
2.371855,0.197194,1.785906,1.525842,1.1062,1
2.35699,0.19047,1.819809,1.528907,1.092325,1
2.35699,0.200556,1.819809,1.513863,1.104024,1
2.35699,0.210643,1.794382,1.559832,1.115723,1
2.35699,0.214275,1.758784,1.566518,1.119934,1
2.35699,0.2288,1.724457,1.564011,1.136782,1
2.35699,0.2288,1.702844,1.6579,1.136782,1
2.297532,0.2288,1.731322,1.632046,1.112391,1
2.307442,0.248974,1.713014,1.631711,1.139779,1
2.274409,0.260069,1.692673,1.633383,1.139013,1
2.297532,0.262288,1.692673,1.666147,1.151094,1
2.257893,0.271165,1.692673,1.687432,1.145016,1
2.257893,0.286295,1.692673,1.684367,1.16246,1
2.257893,0.054296,1.692673,1.567354,0.895058,1
2.218255,0.02343,1.692673,1.396682,0.843894,1
2.178616,-0.020145,1.646904,1.240888,0.778372,1
2.168706,0.032878,1.631647,1.269305,0.835267,1
2.158796,0.085902,1.616391,1.297723,0.892097,1
2.158796,0.06055,1.616391,1.314439,0.863064,1
2.140629,0.050934,1.616391,1.304632,0.8449,1
2.158796,0.054632,1.616391,1.293488,0.856287,1
2.158796,0.073058,1.616391,1.304409,0.877388,1
2.140629,0.082876,1.616391,1.333607,0.881439,1
2.104293,0.0896,1.616391,1.345865,0.87475,1
2.158796,0.0896,1.616391,1.38682,0.896333,1
2.115194,0.109774,1.616391,1.39802,0.902105,1
2.131545,0.0896,1.616391,1.382641,0.885534,1
2.104293,0.096325,1.616391,1.382641,0.882426,1
2.158796,0.109774,1.616391,1.39267,0.919438,1
2.104293,0.109774,1.616391,1.405208,0.897778,1
2.158796,0.096325,1.616391,1.403815,0.904035,1
2.071591,0.0896,1.616391,1.393339,0.861831,1
2.04979,0.0896,1.616391,1.390999,0.853231,1
2.04979,0.06055,1.631647,1.36325,0.820186,1
2.025015,0.037148,1.635461,1.356731,0.7839,1
2.033273,0.005543,1.667245,1.31299,0.751212,1
2.033273,-0.011269,1.616391,1.287024,0.732112,1
2.04979,-0.011269,1.635461,1.244231,0.738503,1
1.975467,-0.042538,1.635461,1.230524,0.674394,1
2.000241,-0.056996,1.654532,1.194305,0.667508,1
1.950693,-0.058677,1.66216,1.166668,0.646663,1
1.950693,-0.091964,1.692673,1.158644,0.609047,1
1.950693,-0.097728,1.649083,1.149092,0.602534,1
1.950693,-0.118863,1.641818,1.11964,0.578652,1
1.950693,-0.128277,1.631647,1.107159,0.568015,1
1.932855,-0.145627,1.66216,1.075732,0.541715,1
1.861505,-0.181939,1.631647,1.018897,0.474195,1
1.883802,-0.192833,1.635461,1.034109,0.470221,1
1.861505,-0.196196,1.641818,1.002627,0.458178,1
1.861505,-0.226456,1.692673,0.987025,0.424183,1
1.861505,-0.240578,1.692673,0.974767,0.408319,1
1.861505,-0.244277,1.679959,0.939106,0.404165,1
1.861505,-0.265459,1.692673,0.924618,0.380371,1
1.861505,-0.281598,1.692673,0.914588,0.362243,1
1.861505,-0.293703,1.677416,0.903221,0.348648,1
1.861505,-0.301772,1.66216,0.863771,0.339585,1
1.861505,-0.330015,1.677416,0.843712,0.307865,1
1.861505,-0.313876,1.673602,0.827664,0.32599,1
1.861505,-0.33405,1.667245,0.825157,0.303334,1
1.861505,-0.347365,1.66216,0.829002,0.288381,1
1.861505,-0.348844,1.667245,0.855525,0.28672,1
1.861505,-0.371372,1.635461,0.831844,0.261422,1
1.841686,-0.380047,1.631647,0.772167,0.244601,1
1.802047,-0.395379,1.616391,0.778853,0.213311,1
1.762408,-0.419789,1.616391,0.754113,0.172006,1
1.762408,-0.429876,1.639275,0.705637,0.16075,1
1.782228,-0.439761,1.653006,0.72135,0.156688,1
1.787183,-0.424832,1.685044,0.728203,0.175115,1
1.762408,-0.457111,1.689621,0.728036,0.130361,1
1.811957,-0.451058,1.66216,0.699786,0.154509,1
1.762408,-0.481824,1.685044,0.659667,0.102788,1
1.762408,-0.49181,1.671314,0.633757,0.091647,1
1.762408,-0.495441,1.671314,0.63242,0.087596,1
